id,degree,in_degree,out_degree,pagerank,community
0xbec22c5a7d2b45e219345cf8439d379a70fdb05f,1,1,0,2.0282081395993034e-05,6
0xc2eef46a4b47477b90145d57b564006610a8096a,1,1,0,2.028046004916609e-05,6
0xc8051cf9d9f53000574b3de2301f819f2d863ac7,1,1,0,2.028045980167244e-05,6
0xc81458807bc1168b5f469049c33d62f3a1681863,1,1,0,2.0280633860261644e-05,6
0xc9605d66385e65d5d83d2a70918928114c109db9,1,1,0,2.0280459826607555e-05,6
0xcd067ef439025a1598f98a33c5e638bd95eaa71f,1,1,0,2.0280459815221844e-05,6
0xce84297a58e7edc671cbb640d4081604ddcc4b52,4,2,2,2.1162867138300287e-05,6
0xd122ff1ea0636b0246bb4d9e9614e7a5f35bcb88,3,2,1,2.0318434181517495e-05,1
0xd51f78ec33d10ae32dda96ef00318c637077a292,2,2,0,2.076512968366996e-05,6
0xd65f6bfa08c941526ec8b209b9b53e970858e534,1,1,0,2.028045980167244e-05,6
0xd854cb4093f478361fd2a57e5f013d97f533d17e,3,2,1,2.0283161495543753e-05,1
0xda908c0bf14ad0b61ea5ebe671ac59b2ce091cbf,179,74,105,0.0004748787431974108,7
0xe20e4bc88316aea8933d2147f0ffef145e16e4e5,6,5,1,2.0327849983516606e-05,7
0xe582c88d2bd154da819aae386719ce7f3b5c757a,1,1,0,2.028045980167244e-05,6
0xe8726041b386c6355b0eb1baeb67cb56c063c2d3,1,1,0,2.0280476866437867e-05,6
0xede5b3d97e57b030263fe205ceda6cca64cf46d0,1,1,0,2.0280896676240957e-05,6
0xeede30a52591bb558231b93b9f26ce1995382aef,3,2,1,3.7566648140627566e-05,6
0xef4b9c340d8439dfd1265d7d5fb7ae3c10eeb1db,3,2,1,2.029825394241331e-05,12
0xf26fc23bb32e517777f498b4ffe105a8b7601256,5,3,2,2.5557509315390728e-05,6
0xf51fc5bbf55e21125f41d077964ab93c36326127,14,11,3,0.0001312286007466644,1
0xfd90691e14aa09c1afba545b21ca1c1ca6b87ba2,3,3,0,2.031616548166134e-05,7
0xfe343675878100b344802a6763fd373fdeed07a4,194,95,99,0.0009056289947220328,12
0xff106bd629ac789c73a066192b3234d716e2f294,10,6,4,3.975265583598237e-05,2
0xffbfbccab57c726d2259558d15b17b4f27244f23,1,1,0,2.028046934180089e-05,6
0x00000000041d945c46e073f0048cef510d148dea,772,374,398,0.002073041555254456,7
0x00113d9a907bd2356c3ec51481a804571f084fda,2,1,1,2.0282024201869807e-05,7
0x00658b2b740870c2b2f61617dc30e7e5f63afe56,20,11,9,6.900005290417167e-05,5
0x01cdcc99a4f9a68be18504750b219caa881841eb,1,1,0,2.0281572726330118e-05,7
0x0237f522d8cf7a739fd14c8e2dbe0a631fa45155,2,2,0,2.0290955630985413e-05,7
0x023f1634f8831acdee48ef160696b32b0701bb87,19,9,10,3.9251280722082564e-05,7
0x0312692e9cadd3ddaace2e112a4e36397bd2f18a,79,38,41,8.764884558993111e-05,0
0x04f8777849c0297b0de969215383d6ef12697a48,23,13,10,2.13950718295407e-05,5
0x0712323f8451cf7acc1141083baa60cc70dc32a8,69,30,39,3.316161760846083e-05,7
0x07b796adc80f1330474e5bc280556354dbce324e,58,33,25,3.1240025584765323e-05,7
0x07fdc10e5b0018d7886c81788bb9384b641eb365,1,1,0,2.0281307892568786e-05,7
0x09ee9ee23e70a7b015fe57a3cb5cea0100c2881a,9,6,3,2.1118146332459798e-05,7
0x0a46b0712974f201bed15c2458a023ebed25ef4f,45,20,25,5.3802360158895536e-05,7
0x0b1510c24cf377a08258bc01dfbbc40035ee3653,35,13,22,3.849915775889436e-05,7
0x0b48b39c79d3d99a5dac95f6cbb13b490f818983,3,2,1,2.0284709834468037e-05,7
0x0c787944946d22922c9f41c477cc539700d35bb2,48,28,20,4.200319501707098e-05,7
0x0f53a48ac4b1da4550ec0888f77183421918fd09,20,9,11,2.0791780600782402e-05,7
0x10062ec62c0be26cc9e2f50a1cf784a89ded075f,27,12,15,5.904551262564823e-05,7
0x1013ba833071fd8aca8bf2ac83e5515c5fb9e76f,40,24,16,2.5994327465946942e-05,7
0x108d422cf9c9fe7dc9d9c119bdfc325777c45f0f,11,6,5,2.58996104336149e-05,7
0x113ae8c339f2553d98fb19ee5c28efc6a9f21fd5,3,2,1,2.028593750787742e-05,7
0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,39,19,20,2.1831699955382726e-05,0
0x12909209228cedad659a6e13d41f82a4d53ee8d1,18,8,10,2.3034051208993877e-05,7
0x12971c208a2f2cc6464da54eec06bcf7815b6c9e,2,1,1,2.0283351741157944e-05,7
0x12bd7ae45acf2504bed144eabc6ff5bbebd91563,77,29,48,0.00014468715666675285,6
0x13136ea148331a07497087bfc31fbccd9b99123c,13,6,7,2.0469635412902474e-05,7
0x13305f843e66f7cc7f9cb1bbc40dabee7086d1f8,22,11,11,3.792924669234025e-05,7
0x137d586759649fcac1f13698c6301a34f651935b,1,1,0,2.028141550303195e-05,7
0x13a62ac160ee6f4639e0f9c9baa5ce6f9adfd7e1,32,19,13,2.5718443059447454e-05,7
0x14e75baa300ea7be3a115132aec7bacf7e388568,21,10,11,2.203524949672735e-05,7
0x1534d7c91bd77eb447acb7fb92ea042b918f58bb,12,6,6,2.2403811462664413e-05,7
0x15551bedc20b01b473da93e6cfa29b1eb7baeabb,5,3,2,2.04401956751863e-05,7
0x157d5eab254164de28f41cd50aa484a0734d7604,2,1,1,2.028252136283089e-05,7
0x15c80bdf3de14a3ce0ce320c13874bffc9e31504,5,4,1,2.0288557722752875e-05,7
0x16752387f97dcbe245564ba37e97076d60a7ac03,3,2,1,2.0297211722814186e-05,7
0x16d82bd234222b39c309da37a6f54df11994207a,1,1,0,2.0281289017093418e-05,7
0x16f2e09b653f7e7411ab787406cce5cf8720c61c,4,3,1,2.037017212426755e-05,3
0x17b509b2b65b0d07b9e46bfc2ffe6c9c09a8e821,35,18,17,3.512090518664182e-05,7
0x1824835a04cc3123f54dc21728383243f3b308ab,7,3,4,2.142645933616464e-05,7
